2019-10-16 13:36:02 status unpacked gir1.2-soup-2.4:amd64 2.66.1-1ubuntu0.1
2019-10-16 13:36:02 startup packages configure
2019-10-16 13:36:02 configure gir1.2-soup-2.4:amd64 2.66.1-1ubuntu0.1 <ninguna>
2019-10-16 13:36:02 status unpacked gir1.2-soup-2.4:amd64 2.66.1-1ubuntu0.1
2019-10-16 13:36:02 status half-configured gir1.2-soup-2.4:amd64 2.66.1-1ubuntu0.1
2019-10-16 13:36:02 status installed gir1.2-soup-2.4:amd64 2.66.1-1ubuntu0.1
2019-10-16 13:36:09 startup archives unpack
2019-10-16 13:36:09 upgrade thunderbird-locale-en:amd64 1:60.8.0+build1-0ubuntu0.19.04.1 1:60.9.0+build1-0ubuntu0.19.04.1
2019-10-16 13:36:09 status half-configured thunderbird-locale-en:amd64 1:60.8.0+build1-0ubuntu0.19.04.1
2019-10-16 13:36:09 status unpacked thunderbird-locale-en:amd64 1:60.8.0+build1-0ubuntu0.19.04.1
2019-10-16 13:36:09 status half-installed thunderbird-locale-en:amd64 1:60.8.0+build1-0ubuntu0.19.04.1
2019-10-16 13:36:09 status unpacked thunderbird-locale-en:amd64 1:60.9.0+build1-0ubuntu0.19.04.1
2019-10-16 13:36:09 upgrade thunderbird-locale-es:amd64 1:60.8.0+build1-0ubuntu0.19.04.1 1:60.9.0+build1-0ubuntu0.19.04.1
2019-10-16 13:36:09 status half-configured thunderbird-locale-es:amd64 1:60.8.0+build1-0ubuntu0.19.04.1
2019-10-16 13:36:09 status unpacked thunderbird-locale-es:amd64 1:60.8.0+build1-0ubuntu0.19.04.1
2019-10-16 13:36:09 status half-installed thunderbird-locale-es:amd64 1:60.8.0+build1-0ubuntu0.19.04.1
2019-10-16 13:36:09 status unpacked thunderbird-locale-es:amd64 1:60.9.0+build1-0ubuntu0.19.04.1
2019-10-16 13:36:09 upgrade thunderbird:amd64 1:60.8.0+build1-0ubuntu0.19.04.1 1:60.9.0+build1-0ubuntu0.19.04.1
2019-10-16 13:36:09 status half-configured thunderbird:amd64 1:60.8.0+build1-0ubuntu0.19.04.1
2019-10-16 13:36:09 status unpacked thunderbird:amd64 1:60.8.0+build1-0ubuntu0.19.04.1
2019-10-16 13:36:09 status half-installed thunderbird:amd64 1:60.8.0+build1-0ubuntu0.19.04.1
2019-10-16 13:36:16 status triggers-pending bamfdaemon:amd64 0.5.3+18.04.20180207.2-0ubuntu1
2019-10-16 13:36:16 status triggers-pending gnome-menus:amd64 3.32.0-1ubuntu1
2019-10-16 13:36:16 status triggers-pending desktop-file-utils:amd64 0.23-4ubuntu1
2019-10-16 13:36:16 status triggers-pending mime-support:all 3.60ubuntu1
2019-10-16 13:36:16 status triggers-pending man-db:amd64 2.8.5-2
2019-10-16 13:36:16 status unpacked thunderbird:amd64 1:60.9.0+build1-0ubuntu0.19.04.1
2019-10-16 13:36:17 upgrade thunderbird-gnome-support:amd64 1:60.8.0+build1-0ubuntu0.19.04.1 1:60.9.0+build1-0ubuntu0.19.04.1
2019-10-16 13:36:17 status half-configured thunderbird-gnome-support:amd64 1:60.8.0+build1-0ubuntu0.19.04.1
2019-10-16 13:36:17 status unpacked thunderbird-gnome-support:amd64 1:60.8.0+build1-0ubuntu0.19.04.1
2019-10-16 13:36:17 status half-installed thunderbird-gnome-support:amd64 1:60.8.0+build1-0ubuntu0.19.04.1
2019-10-16 13:36:17 status unpacked thunderbird-gnome-support:amd64 1:60.9.0+build1-0ubuntu0.19.04.1
2019-10-16 13:36:17 startup packages configure
2019-10-16 13:36:17 configure thunderbird:amd64 1:60.9.0+build1-0ubuntu0.19.04.1 <ninguna>
2019-10-16 13:36:17 status unpacked thunderbird:amd64 1:60.9.0+build1-0ubuntu0.19.04.1
2019-10-16 13:36:17 status half-configured thunderbird:amd64 1:60.9.0+build1-0ubuntu0.19.04.1
2019-10-16 13:36:17 status installed thunderbird:amd64 1:60.9.0+build1-0ubuntu0.19.04.1
